symbol,name,asset_class,exchange,contract_unit,quote_unit,outright_tick_size,tick_value_usd,usd_per_1_quote_unit,settlement,scope_note,source_title,source_url,verified_on
ES,E-mini S&P 500,Equity Index,CME,$50 x S&P 500 Index,index points,0.25,12.5,50.0,Financial,CME Globex outright futures tick; spreads and options excluded.,CME Group E-mini S&P 500 contract specifications,https://www.cmegroup.com/markets/equities/sp/e-mini-sandp500.contractSpecs.html,2026-08-03
MES,Micro E-mini S&P 500,Equity Index,CME,$5 x S&P 500 Index,index points,0.25,1.25,5.0,Financial,CME Globex outright futures tick; spreads and options excluded.,CME Group Micro E-mini S&P 500 overview,https://www.cmegroup.com/markets/equities/sp/micro-e-mini-sandp-500.html,2026-08-03
NQ,E-mini Nasdaq-100,Equity Index,CME,$20 x Nasdaq-100 Index,index points,0.25,5.0,20.0,Financial,CME Globex outright futures tick; spreads and options excluded.,CME Group E-mini Nasdaq-100 contract specifications,https://www.cmegroup.com/markets/equities/nasdaq/e-mini-nasdaq-100.contractSpecs.html,2026-08-03
MNQ,Micro E-mini Nasdaq-100,Equity Index,CME,$2 x Nasdaq-100 Index,index points,0.25,0.5,2.0,Financial,CME Globex outright futures tick; spreads and options excluded.,CME Group Micro E-mini Nasdaq-100 overview,https://www.cmegroup.com/markets/equities/nasdaq/micro-e-mini-nasdaq-100.html,2026-08-03
YM,E-mini Dow,Equity Index,CBOT,$5 x DJIA Index,index points,1.0,5.0,5.0,Financial,CME Globex outright futures tick; spreads and options excluded.,CME Group E-mini Dow contract specifications,https://www.cmegroup.com/markets/equities/dow-jones/e-mini-dow.contractSpecs.html,2026-08-03
MYM,Micro E-mini Dow,Equity Index,CBOT,$0.50 x DJIA Index,index points,1.0,0.5,0.5,Financial,CME Globex outright futures tick; spreads and options excluded.,CME Group Micro E-mini Dow overview,https://www.cmegroup.com/markets/equities/dow-jones/micro-e-mini-dow.html,2026-08-03
RTY,E-mini Russell 2000,Equity Index,CME,$50 x Russell 2000 Index,index points,0.1,5.0,50.0,Financial,CME Globex outright futures tick; spreads and options excluded.,CME Group E-mini Russell 2000 contract specifications,https://www.cmegroup.com/markets/equities/russell/e-mini-russell-2000.contractSpecs.html,2026-08-03
M2K,Micro E-mini Russell 2000,Equity Index,CME,$5 x Russell 2000 Index,index points,0.1,0.5,5.0,Financial,CME Globex outright futures tick; spreads and options excluded.,CME Group Micro E-mini Russell 2000 overview,https://www.cmegroup.com/markets/equities/russell/micro-e-mini-russell-2000.html,2026-08-03
6E,Euro FX,FX,CME,"125,000 euro",USD per euro,5e-05,6.25,125000.0,Physical,CME Globex outright futures tick; spreads and options excluded.,CME Group FX Product Guide 2026,https://www.cmegroup.com/markets/fx/fx-product-guide.html,2026-08-03
M6E,Micro EUR/USD,FX,CME,"12,500 euro",USD per euro,0.0001,1.25,12500.0,Physical,CME Globex outright futures tick; spreads and options excluded.,CME Group FX Product Guide 2026,https://www.cmegroup.com/markets/fx/fx-product-guide.html,2026-08-03
6J,Japanese Yen,FX,CME,"12,500,000 yen",USD per yen,5e-07,6.25,12500000.0,Physical,CME Globex outright futures tick; spreads and options excluded.,CME Group FX Product Guide 2026,https://www.cmegroup.com/markets/fx/fx-product-guide.html,2026-08-03
MJY,Micro JPY/USD,FX,CME,"1,250,000 yen",USD per yen,1e-06,1.25,1250000.0,Physical,CME Globex outright futures tick; spreads and options excluded.,CME Group FX Product Guide 2026,https://www.cmegroup.com/markets/fx/fx-product-guide.html,2026-08-03
6B,British Pound,FX,CME,"62,500 pound sterling",USD per pound sterling,0.0001,6.25,62500.0,Physical,CME Globex outright futures tick; spreads and options excluded.,CME Group FX Product Guide 2026,https://www.cmegroup.com/markets/fx/fx-product-guide.html,2026-08-03
M6B,Micro GBP/USD,FX,CME,"6,250 pound sterling",USD per pound sterling,0.0001,0.625,6250.0,Physical,CME Globex outright futures tick; spreads and options excluded.,CME Group FX Product Guide 2026,https://www.cmegroup.com/markets/fx/fx-product-guide.html,2026-08-03
6A,Australian Dollar,FX,CME,"100,000 Australian dollars",USD per Australian dollar,5e-05,5.0,100000.0,Physical,CME Globex outright futures tick; spreads and options excluded.,CME Group FX Product Guide 2026,https://www.cmegroup.com/markets/fx/fx-product-guide.html,2026-08-03
M6A,Micro AUD/USD,FX,CME,"10,000 Australian dollars",USD per Australian dollar,0.0001,1.0,10000.0,Physical,CME Globex outright futures tick; spreads and options excluded.,CME Group FX Product Guide 2026,https://www.cmegroup.com/markets/fx/fx-product-guide.html,2026-08-03
6C,Canadian Dollar,FX,CME,"100,000 Canadian dollars",USD per Canadian dollar,5e-05,5.0,100000.0,Physical,CME Globex outright futures tick; spreads and options excluded.,CME Group FX Product Guide 2026,https://www.cmegroup.com/markets/fx/fx-product-guide.html,2026-08-03
MCD,Micro CAD/USD,FX,CME,"10,000 Canadian dollars",USD per Canadian dollar,0.0001,1.0,10000.0,Physical,CME Globex outright futures tick; spreads and options excluded.,CME Group FX Product Guide 2026,https://www.cmegroup.com/markets/fx/fx-product-guide.html,2026-08-03
6S,Swiss Franc,FX,CME,"125,000 Swiss francs",USD per Swiss franc,5e-05,6.25,125000.0,Physical,CME Globex outright futures tick; spreads and options excluded.,CME Group FX Product Guide 2026,https://www.cmegroup.com/markets/fx/fx-product-guide.html,2026-08-03
MSF,Micro CHF/USD,FX,CME,"12,500 Swiss francs",USD per Swiss franc,0.0001,1.25,12500.0,Physical,CME Globex outright futures tick; spreads and options excluded.,CME Group FX Product Guide 2026,https://www.cmegroup.com/markets/fx/fx-product-guide.html,2026-08-03
6N,New Zealand Dollar,FX,CME,"100,000 New Zealand dollars",USD per New Zealand dollar,5e-05,5.0,100000.0,Physical,CME Globex outright futures tick; spreads and options excluded.,CME Group FX Product Guide 2026,https://www.cmegroup.com/markets/fx/fx-product-guide.html,2026-08-03
